Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
1,2019,NBA,1,1,NOP,Zion Williamson\willizi01,18.353,F-C,us,Duke,2020,2021,10.7,85,31.7,25.7,7.0,3.2,0.9,0.6,.604,.614,.333,.683,.191
2,2019,NBA,1,21,OKC,Brandon Clarke\clarkbr01,22.279,F,ca,Gonzaga,2020,2021,9.0,115,23.3,11.3,5.8,1.5,0.8,0.9,.567,.610,.309,.722,.162
3,2019,NBA,1,2,MEM,Ja Morant\moranja01,19.319,G,us,Murray State,2020,2021,7.2,128,31.6,18.5,3.9,7.3,0.9,0.2,.465,.506,.320,.751,.085
4,2019,NBA,1,8,ATL,Jaxson Hayes\hayesja02,19.032,F,us,Texas,2020,2021,7.1,121,16.3,7.2,4.1,0.7,0.4,0.8,.657,.663,.467,.692,.172
5,2019,NBA,1,11,MIN,Cameron Johnson\johnsca02,23.114,F,us,UNC,2020,2021,5.2,117,23.0,9.2,3.3,1.3,0.6,0.3,.427,.555,.367,.828,.093
6,2019,NBA,1,20,BOS,Matisse Thybulle\thybuma01,22.113,G,us,Washington,2020,2021,5.1,130,19.9,4.3,1.8,1.1,1.5,0.9,.421,.553,.330,.559,.095
7,2019,NBA,2,38,CHI,Daniel Gafford\gaffoda01,20.267,F,us,Arkansas,2020,2021,5.1,94,14.3,6.0,3.4,0.5,0.4,1.4,.694,.694,,.600,.180
8,2019,NBA,1,12,CHO,PJ Washington\washipj01,20.306,F,us,Kentucky,2020,2021,4.8,119,30.4,12.7,6.0,2.3,1.0,1.0,.452,.496,.387,.703,.064
9,2019,NBA,1,29,SAS,Keldon Johnson\johnske04,19.257,G,us,Kentucky,2020,2021,4.5,82,26.5,12.0,5.6,1.6,0.6,0.3,.494,.536,.368,.748,.099
10,2019,NBA,2,48,LAC,Terance Mann\mannte01,22.250,G-F,us,Florida State,2020,2021,4.3,106,15.1,5.2,2.8,1.5,0.4,0.2,.494,.526,.404,.793,.129
11,2019,NBA,1,9,WAS,Rui Hachimura\hachiru01,21.137,F,jp,Gonzaga,2020,2021,3.8,102,30.8,13.7,5.8,1.6,0.8,0.1,.472,.510,.309,.800,.057
12,2019,NBA,1,3,NYK,RJ Barrett\barrerj01,19.010,G-F,ca,Duke,2020,2021,3.3,125,32.9,16.1,5.4,2.8,0.9,0.3,.424,.448,.364,.680,.038
13,2019,NBA,1,13,MIA,Tyler Herro\herroty01,19.156,G,us,Kentucky,2020,2021,3.2,106,28.9,14.3,4.5,2.7,0.7,0.2,.435,.481,.377,.839,.050
14,2019,NBA,1,7,CHI,Coby White\whiteco01,19.129,G,us,UNC,2020,2021,3.1,131,28.4,14.2,3.8,3.7,0.6,0.2,.406,.452,.356,.850,.040
15,2019,NBA,2,41,GSW,Eric Paschall\pascher01,22.233,F,us,Villanova,2020,2021,3.0,99,23.5,12.2,4.0,1.8,0.4,0.2,.495,.543,.297,.757,.061
16,2019,NBA,1,22,BOS,Grant Williams\willigr01,20.207,F,us,Tennessee,2020,2021,2.5,129,16.3,3.9,2.6,1.0,0.5,0.5,.421,.530,.312,.660,.056
17,2019,NBA,2,31,BRK,Nicolas Claxton\claxtni01,20.069,F,us,Georgia,2020,2021,2.1,44,16.1,5.6,4.4,1.0,0.5,0.9,.588,.618,.167,.486,.143
18,2019,NBA,2,36,CHO,Cody Martin\martico01,23.271,G-F,us,Nevada,2020,2021,2.1,100,17.5,4.5,3.2,1.8,0.8,0.2,.435,.531,.252,.620,.057
19,2019,NBA,1,18,IND,Goga Bitadze\bitadgo01,19.340,C,ge,,2020,2021,2.0,96,10.1,3.9,2.5,0.6,0.2,1.0,.448,.568,.221,.756,.100
20,2019,NBA,2,46,ORL,Talen Horton-Tucker\hortota01,18.211,G-F,us,Iowa State,2020,2021,2.0,68,19.3,8.5,2.5,2.6,1.0,0.3,.455,.524,.277,.782,.072
21,2019,NBA,1,4,LAL,De'Andre Hunter\huntede01,21.205,F,us,Virginia,2020,2021,1.8,84,31.6,13.1,4.7,1.8,0.7,0.3,.433,.492,.354,.799,.033
22,2019,NBA,1,25,POR,Nassir Little\littlna01,19.134,F,us,UNC,2020,2021,1.6,95,12.7,4.1,2.5,0.5,0.2,0.3,.446,.559,.302,.719,.064
23,2019,NBA,1,16,ORL,Chuma Okeke\okekech01,20.311,F,us,Auburn,2021,2021,1.4,45,25.2,7.8,4.0,2.2,1.1,0.5,.417,.470,.348,.750,.057
24,2019,NBA,2,52,CHO,Jalen McDaniels\mcdanja01,21.145,F,us,San Diego State,2020,2021,1.4,60,18.3,6.6,3.6,1.0,0.6,0.4,.468,.536,.345,.708,.063
25,2019,NBA,1,24,PHI,Ty Jerome\jeromty01,21.352,G,us,Virginia,2020,2021,1.3,64,17.4,7.1,2.1,2.6,0.5,0.1,.415,.445,.390,.760,.054
26,2019,NBA,2,45,DET,Isaiah Roby\robyis01,21.142,F,us,Nebraska,2020,2021,1.2,62,22.6,8.3,5.4,1.7,0.8,0.6,.481,.544,.299,.744,.042
27,2019,NBA,2,58,GSW,Miye Oni\onimi01,21.325,G,us,Yale,2020,2021,0.9,61,9.7,2.2,1.6,0.5,0.2,0.2,.354,.417,.340,.818,.074
28,2019,NBA,2,43,MIN,Jaylen Nowell\nowelja01,19.351,G,us,Washington,2020,2021,0.8,56,16.1,7.7,1.9,1.4,0.4,0.2,.415,.507,.302,.843,.043
29,2019,NBA,2,34,PHI,Bruno Fernando\fernabr01,20.314,F,ao,Maryland,2020,2021,0.7,87,10.5,3.2,3.1,0.7,0.2,0.2,.502,.577,.128,.592,.034
30,2019,NBA,1,17,BRK,Nickeil Alexander-Walker\alexani01,20.296,G,ca,Virginia Tech,2020,2021,0.5,90,16.5,8.0,2.4,2.0,0.7,0.3,.401,.453,.347,.714,.017
31,2019,NBA,1,26,CLE,Dylan Windler\windldy01,22.276,G-F,us,Belmont,2021,2021,0.5,31,16.5,5.2,3.5,1.1,0.6,0.4,.438,.585,.338,.778,.044
