Player,#,Selections[c],Notes,Reference
Kareem Abdul-Jabbar*,19,1970–1977; 1979–1989,Missed 1973[8] game,[9]
Kobe Bryant*,18,1998; 2000–2016,"Missed 2010,[10] 2014,[11] and 2015[12] games",[13]
LeBron James^,17,2005–2021,,[14]
Tim Duncan*,15,1998; 2000–2011; 2013; 2015,,[15]
Kevin Garnett*,15,1997–1998; 2000–2011; 2013,Missed 2008[16] game,[17]
Shaquille O'Neal*,15,1993–1998; 2000–2007; 2009,"Missed 1997,[18] 2001,[19] and 2002[20] games",[21]
Michael Jordan*,14,1985–1993; 1996–1998; 2002–2003,Missed 1986[22] game,[23]
Karl Malone*,14,1988–1998; 2000–2002,Missed 1990[24] and 2002[20] games,[25]
Dirk Nowitzki�,14,2002–2012; 2014–2015; 2019,,[26]
Jerry West*,14,1961–1974,Missed 1969[27] and 1974[28] games,[29]
Wilt Chamberlain*,13,1960–1969; 1971–1973,,[30]
Bob Cousy*,13,1951–1963,,[31]
John Havlicek*,13,1966–1978,,[32]
Dwyane Wade�,13,2005–2016; 2019,Missed 2015[12] game,[33]
Larry Bird*,12,1980–1988; 1990–1992,Missed 1991[34] and 1992[35] games,[36]
Elvin Hayes*,12,1969–1980,,[37]
Magic Johnson*,12,1980; 1982–1992,Missed 1989[38] game,[39]
Moses Malone*,12,1978–1989,Missed 1984[40] game; also a one-time ABA All-Star,[41]
Hakeem Olajuwon*,12,1985–1990; 1992–1997,,[42]
Oscar Robertson*,12,1961–1972,,[43]
Bill Russell*,12,1958–1969,,[44]
Dolph Schayes*,12,1951–1962,Missed 1952[45] game,[46]
Isiah Thomas*,12,1982–1993,Missed 1991[34] game,[47]
Charles Barkley*,11,1987–1997,Missed 1994[48] and 1997[18] games,[49]
Elgin Baylor*,11,1959–1965; 1967–1970,,[50]
Chris Bosh�,11,2006–2016,Missed 2009[51] and 2016[52]  games,[53]
Kevin Durant^,11,2010–2019; 2021,Missed 2021 game,[54]
Julius Erving*,11,1977–1987,Also a five-time ABA All-Star,[55]
Patrick Ewing*,11,1986; 1988–1997,Missed 1986[22] and 1997[18] games,[56]
Allen Iverson*,11,2000–2010,Missed 2007[57] and 2010[10] games,[58]
Chris Paul^,11,2008–2016; 2020–2021,Missed 2010[10] game,[59]
Bob Pettit*,11,1955–1965,,[60]
Ray Allen*,10,2000–2002; 2004–2009; 2011,,[61]
Carmelo Anthony^,10,2007–2008; 2010–2017,,[62]
Paul Arizin*,10,1951–1952; 1955–1962,Missed 1960[63] game,[64]
Clyde Drexler*,10,1986; 1988–1994; 1996–1997,Missed 1997[18] game,[65]
Hal Greer*,10,1961–1970,,[66]
Jason Kidd*,10,1996; 1998; 2000–2004; 2007–2008; 2010,Missed 2007[57] game,[67]
Paul Pierce,10,2002–2006; 2008–2012,,[68]
David Robinson*,10,1990–1996; 1998; 2000–2001,,[69]
John Stockton*,10,1989–1997; 2000,,[70]
George Gervin*,9,1977–1985,Also a three-time ABA All-Star,[71]
James Harden^,9,2013–2021,,[72]
Robert Parish*,9,1981–1987; 1990–1991,,[73]
Gary Payton*,9,1994–1998; 2000–2003,,[74]
Russell Westbrook^,9,2011–2013; 2015–2020,,[75]
Lenny Wilkens*,9,1963–1965; 1967–1971; 1973,,[76]
Dominique Wilkins*,9,1986–1994,Missed 1992[35] game,[77]
Rick Barry*,8,1966–1967; 1973–1978,Missed 1973[8] game; also a four-time ABA All-Star,[78]
Vince Carter,8,2000–2007,Missed 2002[20] game,[79]
Dave Cowens*,8,1972–1978; 1980,Missed 1977[80] and 1980[81] games,[82]
Anthony Davis^,8,2014–2021,Missed 2015[12] and 2021 games[83],[84]
Dave DeBusschere*,8,1966–1968; 1970–1974,,[85]
Alex English*,8,1982–1989,,[86]
Larry Foust,8,1951–1956; 1958–1959,Missed 1952[45] game,[87]
Dwight Howard^,8,2007–2014,,[88]
Bob Lanier*,8,1972–1975; 1977–1979; 1982,,[89]
Dikembe Mutombo*,8,1992; 1995–1998; 2000–2002,,[90]
Steve Nash*,8,2002–2003; 2005–2008; 2010; 2012,Missed 2007[57] game,[91]
Bill Sharman*,8,1953–1960,,[92]
Yao Ming*,8,2003–2009; 2011,Missed 2007[57] and 2011[93] games,[94]
LaMarcus Aldridge�,7,2012–2016; 2018–2019,,[95]
Dave Bing*,7,1968–1969; 1971; 1973–1976,,[96]
Stephen Curry^,7,2014–2019; 2021,,[97]
Walt Frazier*,7,1970–1976,,[98]
Harry Gallatin*,7,1951–1957,,[99]
Paul George^,7,2013–2014; 2016–2019; 2021,,[100]
Grant Hill*,7,1995–1998; 2000–2001; 2005,Missed 2001[19] game,[101]
Kyrie Irving^,7,2013–2015; 2017–2019; 2021,,[102]
Joe Johnson�,7,2007–2012; 2014,Missed 2012[103] game,[104]
Jerry Lucas*,7,1964–1969; 1971,,[105]
Ed Macauley*,7,1951–1957,,[106]
Slater Martin*,7,1953–1959,,[107]
Tracy McGrady*,7,2001–2007,,[108]
Dick McGuire*,7,1951–1952; 1954–1956; 1958–1959,,[109]
Kevin McHale*,7,1984; 1986–1991,,[110]
Alonzo Mourning*,7,1994–1997; 2000–2002,"Missed 1994,[48] 1997,[18] and 2001[19] games",[111]
Scottie Pippen*,7,1990; 1992–1997,,[112]
Willis Reed*,7,1965–1971,,[113]
Jack Sikma*,7,1979–1985,,[114]
Nate Thurmond*,7,1965–1968; 1970; 1973–1974,Missed 1968[115] and 1970[116] games,[117]
Chet Walker*,7,1964; 1966–1967; 1970–1971; 1973–1974,,[118]
Jo Jo White*,7,1971–1977,,[119]
James Worthy*,7,1986–1992,,[120]
Nate Archibald*,6,1973; 1975–1976; 1980–1982,,[121]
Larry Costello,6,1958–1962; 1965,Missed 1962[122] game,[123]
Adrian Dantley*,6,1980–1982; 1984–1986,,[124]
Walter Davis,6,1978–1981; 1984; 1987,,[125]
Joe Dumars*,6,1990–1993; 1995; 1997,,[126]
Pau Gasol,6,2006; 2009–2011; 2015–2016,,[127]
Artis Gilmore*,6,1978–1979; 1981–1983; 1986,Also a five-time ABA All-Star,[128]
Blake Griffin^,6,2011–2015; 2019,Missed 2015[12] game,[129]
Richie Guerin*,6,1958–1963,,[130]
Tom Heinsohn*,6,1957; 1961–1965,Missed 1965[131] game,[132]
Bailey Howell*,6,1961–1964; 1966–1967,,[133]
Lou Hudson,6,1969–1974,,[134]
Neil Johnston*,6,1953–1958,,[135]
Shawn Kemp,6,1993–1998,,[136]
Damian Lillard^,6,2014–2015; 2018–2021,Missed 2020 game,[137]
Kyle Lowry^,6,2015–2020,,[138]
Vern Mikkelsen*,6,1951–1953; 1955–1957,,[139]
Jermaine O'Neal,6,2002–2007,Missed 2006[140] game,[141]
Tony Parker,6,2006–2007; 2009; 2012–2014,,[142]
Mitch Richmond*,6,1993–1998,Missed 1993[143] game,[144]
Amar'e Stoudemire,6,2005; 2007–2011,,[145]
Jack Twyman*,6,1957–1960; 1962–1963,,[146]
George Yardley*,6,1955–1960,,[147]
Giannis Antetokounmpo^,5,2017–2021,,[148]
Chauncey Billups,5,2006–2010,,[149]
Carl Braun*,5,1953–1957,Missed 1956[150] game,[151]
Jimmy Butler^,5,2015–2018; 2020,Missed 2016[52] game,[152]
Brad Daugherty,5,1988–1989; 1991–1993,,[153]
Wayne Embry*,5,1961–1965,Missed 1963[154] game; inducted as a contributor,[155]
Tom Gola*,5,1960–1964,Missed 1962[122] game,[156]
Gail Goodrich*,5,1969; 1972–1975,,[157]
Cliff Hagan*,5,1958–1962,Missed 1958[158] game; also a one-time ABA All-Star,[159]
Tim Hardaway,5,1991–1993; 1997–1998,,[160]
Al Horford^,5,2010–2011; 2015–2016; 2018,,[161]
Dennis Johnson*,5,1979–1982; 1985,,[162]
