Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,NBA,1,1,CHI,Elton Brand,20.116,F-C,us,Duke,2000,2016,1999,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.501,0.095,0.736,109.6,0.151
2,NBA,1,2,VAN,Steve Francis,22.134,G,us,Maryland,2000,2008,1999,576,37.6,18.1,5.6,6,1.5,0.4,0.429,0.451,0.341,0.797,54.1,0.12
3,NBA,1,3,CHH,Baron Davis,20.083,G,us,UCLA,2000,2012,1999,835,34.2,16.1,3.8,7.2,1.8,0.4,0.409,0.456,0.32,0.711,63.1,0.106
4,NBA,1,4,LAC,Lamar Odom,19.241,F,us,Rhode Island,2000,2013,1999,961,33.4,13.3,8.4,3.7,0.9,0.9,0.463,0.502,0.312,0.693,77,0.115
5,NBA,1,5,TOR,Jonathan Bender,18.155,F,us,,2000,2010,1999,262,14.7,5.5,2.2,0.6,0.2,0.6,0.417,0.442,0.34,0.763,3.8,0.047
6,NBA,1,6,MIN,Wally Szczerbiak,22.122,F,es,Miami University,2000,2009,1999,651,30.8,14.1,4,2.4,0.6,0.2,0.485,0.505,0.406,0.86,53.3,0.127
7,NBA,1,7,WAS,Richard Hamilton,21.141,G-F,us,UConn,2000,2013,1999,921,32.1,17.1,3.1,3.4,0.8,0.1,0.449,0.463,0.346,0.852,62.8,0.102
8,NBA,1,8,CLE,Andre Miller,23.108,G,us,Utah,2000,2016,1999,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.478,0.217,0.807,100.8,0.12
9,NBA,1,9,PHO,Shawn Marion,21.059,F,us,UNLV,2000,2015,1999,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.513,0.331,0.81,124.9,0.15
10,NBA,1,10,ATL,Jason Terry,21.293,G,us,Arizona,2000,2018,1999,1410,29.8,13.4,2.3,3.8,1.1,0.2,0.444,0.484,0.38,0.845,102,0.116
11,NBA,1,11,CLE,Trajan Langdon,23.053,G,us,Duke,2000,2002,1999,119,14.6,5.4,1.3,1.3,0.5,0.1,0.416,0.429,0.396,0.91,2.9,0.079
12,NBA,1,12,TOR,Aleksandar Radojević,22.331,C,me,Barton County Community College,2000,2005,1999,15,10.1,1.7,2.4,0.5,0.1,0.2,0.308,0.308,,0.625,-0.4,-0.13
13,NBA,1,13,SEA,Corey Maggette,19.235,F,us,Duke,2000,2013,1999,827,28.2,16,4.9,2.1,0.7,0.2,0.453,0.478,0.324,0.822,62.2,0.128
14,NBA,1,14,MIN,William Avery,19.331,G,us,Duke,2000,2002,1999,142,8.5,2.7,0.7,1.4,0.2,0,0.33,0.376,0.255,0.714,-0.9,-0.034
15,NBA,1,15,NYK,Frederic Weis,,,,,,,1999,,,,,,,,,,,,,
16,NBA,1,16,CHI,Metta World Peace,19.234,F,us,St. John's,2000,2017,1999,991,31.7,13.2,4.5,2.7,1.7,0.5,0.414,0.447,0.339,0.715,61.1,0.093
17,NBA,1,17,ATL,Cal Bowdler,22.096,F,us,Old Dominion,2000,2002,1999,142,9.7,3,1.9,0.2,0.3,0.3,0.404,0.411,0.182,0.768,1.8,0.061
18,NBA,1,18,DEN,James Posey,22.173,F-G,us,Xavier,2000,2011,1999,864,26.9,8.6,4.7,1.6,1.1,0.3,0.41,0.467,0.349,0.82,51.6,0.107
19,NBA,1,19,UTA,Quincy Lewis,22.009,F,us,Minnesota,2000,2004,1999,159,11.7,3.6,1.3,0.6,0.4,0.2,0.397,0.412,0.333,0.71,0.8,0.02
20,NBA,1,20,ATL,Dion Glover,20.256,G,us,Georgia Tech,2000,2005,1999,294,20.9,8.2,3.1,1.5,0.8,0.2,0.411,0.436,0.317,0.756,5.8,0.045
21,NBA,1,21,GSW,Jeff Foster,22.17,F-C,us,Texas State University,2000,2012,1999,764,20.6,4.9,6.9,0.9,0.7,0.4,0.497,0.504,0.13,0.615,47.5,0.145
22,NBA,1,22,HOU,Kenny Thomas,21.345,F,us,New Mexico,2000,2010,1999,632,27.4,9.3,6.9,1.5,0.8,0.4,0.465,0.476,0.244,0.699,31.2,0.086
23,NBA,1,23,LAL,Devean George,21.31,G-F,us,Augsburg College,2000,2010,1999,630,18.5,5.6,3.1,0.9,0.7,0.4,0.392,0.421,0.343,0.721,18.2,0.075
24,NBA,1,24,UTA,Andrei Kirilenko,18.136,F,ru,,2002,2015,1999,797,30,11.8,5.5,2.7,1.4,1.8,0.474,0.51,0.31,0.754,75.4,0.151
25,NBA,1,25,MIA,Tim James,22.191,F,us,Miami (FL),2000,2002,1999,43,6.1,1.6,1.1,0.3,0,0.2,0.329,0.329,0.333,0.652,0,-0.003
26,NBA,1,26,IND,Vonteego Cummings,23.127,G,us,Pitt,2000,2002,1999,199,19,6.9,1.9,2.7,0.9,0.2,0.383,0.404,0.321,0.726,2.2,0.028
27,NBA,1,27,ATL,Jumaine Jones,20.145,F,us,Georgia,2000,2007,1999,471,20.8,7.1,4.2,0.9,0.7,0.3,0.424,0.474,0.349,0.704,15.1,0.074
28,NBA,1,28,UTA,Scott Padgett,23.077,F,us,Kentucky,2000,2007,1999,448,12.5,4.2,2.7,0.7,0.4,0.2,0.41,0.433,0.373,0.736,13.2,0.113
29,NBA,1,29,SAS,Leon Smith,18.244,C,us,,2002,2004,1999,15,6.9,2.2,2.2,0.2,0.3,0.1,0.393,0.393,,0.647,0.2,0.112
30,NBA,2,30,LAL,John Celestand,22.121,G,us,Villanova,2000,2000,1999,16,11.6,2.3,0.7,1.3,0.4,0,0.333,0.361,0.222,0.833,-0.1,-0.038
31,NBA,2,31,LAC,Rico Hill,,,,Illinois State,,,1999,,,,,,,,,,,,,
32,NBA,2,32,CHI,Michael Ruffin,22.165,F,us,Tulsa,2000,2009,1999,414,14.4,1.7,3.9,0.6,0.5,0.5,0.407,0.409,0,0.459,6.8,0.055
33,NBA,2,33,DEN,Chris Herren,23.282,G,us,Fresno State,2000,2001,1999,70,14.4,3.2,1,2.4,0.4,0,0.336,0.347,0.328,0.692,0.5,0.025
34,NBA,2,34,NJN,Evan Eschmeyer,24.037,C,us,Northwestern,2000,2003,1999,153,14,2.8,3.9,0.5,0.5,0.6,0.463,0.463,,0.621,4,0.09
35,NBA,2,35,WAS,Calvin Booth,23.059,C,us,Penn State,2000,2009,1999,366,12.2,3.3,2.8,0.4,0.3,1,0.451,0.453,0.222,0.748,8,0.086
36,NBA,2,36,DAL,Wang Zhizhi,21.362,C,cn,,2001,2005,1999,137,9.2,4.4,1.7,0.3,0.2,0.3,0.417,0.435,0.385,0.735,2.1,0.078
37,NBA,2,37,VAN,Obinna Ekezie,23.318,F-C,ng,Maryland,2000,2005,1999,143,10.6,3.6,2.7,0.2,0.3,0.2,0.423,0.424,0,0.72,1.7,0.054
38,NBA,2,38,ORL,Laron Profit,21.334,G-F,us,Maryland,2000,2006,1999,135,11.4,3.3,1.5,1.2,0.5,0.2,0.419,0.469,0.236,0.712,0.7,0.021
39,NBA,2,39,CLE,A.J. Bramlett,22.176,C,us,Arizona,2000,2000,1999,8,7.6,1,2.8,0,0.1,0,0.19,0.19,,,-0.2,-0.129
40,NBA,2,40,DAL,Gordan Giriček,22.015,G-F,hr,,2003,2008,1999,384,23,9.6,2.5,1.5,0.6,0.1,0.442,0.465,0.368,0.823,8,0.044
41,NBA,2,41,DEN,Francisco Elson,23.128,C,nl,California,2004,2012,1999,472,15.3,3.7,3.5,0.6,0.5,0.5,0.478,0.481,0.188,0.7,11.7,0.078
42,NBA,2,42,MIN,Louis Bullock,,,,Michigan,,,1999,,,,,,,,,,,,,
43,NBA,2,43,CHH,Lee Nailon,24.134,F,us,TCU,2001,2006,1999,306,19,8.6,3.1,1,0.4,0.2,0.474,0.475,0.111,0.786,8,0.066
44,NBA,2,44,HOU,Tyrone Washington,,,,Mississippi State,,,1999,,,,,,,,,,,,,
45,NBA,2,45,SAC,Ryan Robertson,22.276,G,us,Kansas,2000,2000,1999,1,25,5,0,0,0,0,0.333,0.5,0,1,0,-0.022
46,NBA,2,46,NYK,J.R. Koch,,,,Iowa,,,1999,,,,,,,,,,,,,
47,NBA,2,47,PHI,Todd MacCulloch,23.16,C,ca,Washington,2000,2003,1999,223,15.4,6.1,4,0.5,0.3,0.8,0.541,0.541,,0.642,11.9,0.166
