Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,NBA,1,1,MIN,Anthony Edwards,19.11,G,us,Georgia,2021,2021,2020,65,31.7,18.5,4.6,2.8,1.2,0.4,0.403,0.466,0.317,0.774,-0.2,-0.006
2,NBA,1,3,CHO,LaMelo Ball,19.093,G,us,,2021,2021,2020,43,28.7,15.7,5.9,6.1,1.6,0.4,0.449,0.505,0.368,0.777,2.8,0.109
3,NBA,1,4,CHI,Patrick Williams,19.089,F,us,Florida State,2021,2021,2020,63,28.2,9.2,4.6,1.4,0.9,0.6,0.479,0.511,0.387,0.738,1.9,0.052
4,NBA,1,5,CLE,Isaac Okoro,19.301,G-F,us,Auburn,2021,2021,2020,59,31.8,8.6,2.9,1.7,1,0.4,0.421,0.509,0.285,0.73,0.8,0.02
5,NBA,1,6,ATL,Onyeka Okongwu,19.347,F,us,USC,2021,2021,2020,43,11.6,4,2.9,0.2,0.4,0.7,0.623,0.64,0,0.638,1.3,0.129
6,NBA,1,8,NYK,Obi Toppin,22.265,F,us,Dayton,2021,2021,2020,54,11.1,4,2.3,0.5,0.3,0.2,0.484,0.618,0.284,0.731,1.2,0.092
7,NBA,1,9,WAS,Deni Avdija,19.324,G-F,il,,2021,2021,2020,54,23.3,6.3,4.9,1.2,0.6,0.3,0.417,0.535,0.315,0.644,1.2,0.047
8,NBA,1,11,SAS,Devin Vassell,20.092,G-F,us,Florida State,2021,2021,2020,53,16.1,5,2.6,0.9,0.7,0.3,0.393,0.412,0.375,0.85,1.3,0.076
9,NBA,1,12,SAC,Tyrese Haliburton,20.268,G,us,Iowa State,2021,2021,2020,58,30.1,13,3,5.3,1.3,0.5,0.472,0.529,0.409,0.857,3.3,0.09
10,NBA,1,13,NOP,Kira Lewis,19.231,G,us,Alabama,2021,2021,2020,46,16.5,6.3,1.2,2.3,0.7,0.2,0.393,0.422,0.343,0.8,0.7,0.046
