Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,55,3,683,112,207,.541,0,0,,112,207,.541,.541,53,103,.515,70,127,197,27,18,26,41,88,277
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
3,Steven Adams\adamsst01,C,27,NOP,57,57,1581,189,305,.620,0,3,.000,189,302,.626,.620,59,133,.444,212,294,506,109,54,37,78,113,437
4,Bam Adebayo\adebaba01,C,23,MIA,56,56,1877,405,712,.569,2,8,.250,403,704,.572,.570,261,324,.806,128,382,510,291,61,61,151,126,1073
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,674,140,296,.473,31,80,.388,109,216,.505,.525,41,47,.872,19,99,118,49,11,29,27,47,352
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,544,115,248,.464,27,75,.360,88,173,.509,.518,31,37,.838,17,77,94,36,8,18,20,36,288
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,130,25,48,.521,4,5,.800,21,43,.488,.563,10,10,1.000,2,22,24,13,3,11,7,11,64
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,10,0,29,2,10,.200,1,7,.143,1,3,.333,.250,1,2,.500,1,4,5,1,0,1,1,1,6
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,851,158,378,.418,65,187,.348,93,191,.487,.504,39,52,.750,10,116,126,81,40,21,57,77,420
8,Grayson Allen\allengr01,SG,25,MEM,48,36,1227,173,409,.423,107,270,.396,66,139,.475,.554,75,87,.862,18,137,155,103,45,8,47,71,528
9,Jarrett Allen\allenja01,C,22,TOT,53,35,1551,260,406,.640,5,14,.357,255,392,.651,.647,179,251,.713,162,362,524,85,27,82,80,86,704
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,44,65,.677,0,0,,44,65,.677,.677,46,61,.754,38,87,125,20,7,19,22,21,134
9,Jarrett Allen\allenja01,C,22,CLE,41,30,1231,216,341,.633,5,14,.357,211,327,.645,.641,133,190,.700,124,275,399,65,20,63,58,65,570
10,Al-Farouq Aminu\aminual01,PF,30,TOT,20,14,391,36,92,.391,7,33,.212,29,59,.492,.429,16,19,.842,20,80,100,30,17,9,27,25,95
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,367,36,89,.404,7,31,.226,29,58,.500,.444,14,17,.824,20,71,91,29,17,9,25,22,93
10,Al-Farouq Aminu\aminual01,PF,30,CHI,3,0,24,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,9,9,1,0,0,2,3,2
11,Kyle Anderson\anderky01,PF,27,MEM,59,59,1601,257,557,.461,76,220,.345,181,337,.537,.530,121,155,.781,48,303,351,208,74,46,72,104,711
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,52,52,1750,536,944,.568,57,187,.305,479,757,.633,.598,352,514,.685,87,505,592,314,63,66,190,143,1481
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,14,0,53,3,10,.300,0,0,,3,10,.300,.300,6,13,.462,4,15,19,1,2,4,10,7,12
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,49,2,495,66,128,.516,7,26,.269,59,102,.578,.543,18,39,.462,53,66,119,42,19,10,40,67,157
15,Carmelo Anthony\anthoca01,PF,36,POR,61,3,1511,295,705,.418,116,290,.400,179,415,.431,.501,124,141,.879,30,167,197,93,44,35,58,125,830
16,Cole Anthony\anthoco01,PG,20,ORL,37,24,1000,164,417,.393,41,130,.315,123,287,.429,.442,74,91,.813,31,136,167,161,23,17,71,77,443
17,OG Anunoby\anunoog01,SF,23,TOR,41,41,1358,234,481,.486,97,244,.398,137,237,.578,.587,75,97,.773,53,176,229,87,64,29,72,112,640
